rank,id,name,win_rate,total_wins,total_matches,hunter_wins,hunter_matches,hunter_win_rate,bounty_wins,bounty_matches,bounty_win_rate,preferred_role
344,6088,captain tryst valentine,0.000,0,2,0,0,0.000,0,2,0.000,Bounty
345,8611,Sass,0.000,0,1,0,0,0.000,0,1,0.000,Bounty
346,2986,Chain Fire,0.000,0,6,0,6,0.000,0,0,0.000,Hunter
347,8030,Dexter Maxim,0.000,0,1,0,0,0.000,0,1,0.000,Bounty
348,6933,lemurc,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
349,7955,Luna,0.000,0,2,0,0,0.000,0,2,0.000,Bounty
350,0471,Seven,0.000,0,5,0,0,0.000,0,5,0.000,Bounty
351,8206,dragon dancer,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
352,6011,Unknown (ID: 6011),0.000,0,3,0,0,0.000,0,3,0.000,Bounty
353,2000,Unknown (ID: 2000),0.000,0,1,0,1,0.000,0,0,0.000,Hunter
354,9524,Sacrifice,0.000,0,10,0,0,0.000,0,10,0.000,Bounty
355,0222,Unknown (ID: 0222),0.000,0,1,0,0,0.000,0,1,0.000,Bounty
356,0984,navai,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
357,2844,Zero,0.000,0,4,0,0,0.000,0,4,0.000,Bounty
358,8471,chaos,0.000,0,1,0,0,0.000,0,1,0.000,Bounty
359,1008,sudo,0.000,0,5,0,0,0.000,0,5,0.000,Bounty
360,9586,AZA,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
361,2504,Lovi,0.000,0,8,0,0,0.000,0,8,0.000,Bounty
362,1194,sweetwater,0.000,0,2,0,0,0.000,0,2,0.000,Bounty
363,1200,Unknown (ID: 1200),0.000,0,1,0,0,0.000,0,1,0.000,Bounty
364,9347,blastercock,0.000,0,11,0,11,0.000,0,0,0.000,Hunter
365,2026,Hands,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
366,0300,Unknown (ID: 0300),0.000,0,1,0,0,0.000,0,1,0.000,Bounty
367,4722,Dr Dave,0.000,0,2,0,2,0.000,0,0,0.000,Hunter
368,9476,W3n1,0.000,0,9,0,0,0.000,0,9,0.000,Bounty
369,8710,Winter Spike,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
370,8552,V. Ridian,0.000,0,1,0,1,0.000,0,0,0.000,Hunter
371,4113,Dr. K3l,0.000,0,2,0,0,0.000,0,2,0.000,Bounty
